path,plugin,skill,lines,body_tokens,description_chars,sections,references_depth,has_scripts,frontmatter_keys
code-scout/skills/brightdata-guide/SKILL.md,code-scout,brightdata-guide,343,5577,718,30,1,no,name description license
code-scout/skills/exa-web-search/SKILL.md,code-scout,exa-web-search,147,2100,305,12,0,no,name description
code-scout/skills/research-orchestrator/SKILL.md,code-scout,research-orchestrator,285,4883,897,27,1,no,name description
code-scout/skills/resource-finder/SKILL.md,code-scout,resource-finder,191,1618,335,15,1,yes,name description
codex-image/skills/codex-image/SKILL.md,codex-image,codex-image,175,3246,468,8,0,no,name description argument-hint allowed-tools
council/skills/convene/SKILL.md,council,convene,639,7521,644,13,0,no,name description
deepwiki/skills/ask/SKILL.md,deepwiki,ask,20,361,473,1,0,no,name description
deepwiki/skills/generate-llmstxt/SKILL.md,deepwiki,generate-llmstxt,22,396,338,1,0,no,name description
docs-forge/skills/changelog-guide/SKILL.md,docs-forge,changelog-guide,88,432,157,14,0,no,name description
docs-forge/skills/deploy-doc-guide/SKILL.md,docs-forge,deploy-doc-guide,33,481,242,3,0,no,name description
docs-forge/skills/interview-methodology/SKILL.md,docs-forge,interview-methodology,342,3741,378,43,0,no,name description version
docs-forge/skills/moc-guide/SKILL.md,docs-forge,moc-guide,52,513,225,7,0,no,name description
docs-forge/skills/readme-guide/SKILL.md,docs-forge,readme-guide,67,367,144,7,0,no,name description
docs-forge/skills/skill-audit/SKILL.md,docs-forge,skill-audit,136,1880,782,11,0,no,name description
docs-forge/skills/skill-fleet-review/SKILL.md,docs-forge,skill-fleet-review,198,2678,755,13,0,no,name description
docs-forge/skills/skill-forge/SKILL.md,docs-forge,skill-forge,196,2335,793,15,1,yes,name description
docs-forge/skills/tcrei-prompt/SKILL.md,docs-forge,tcrei-prompt,363,3123,335,31,1,no,name description allowed-tools
docs-forge/skills/voice-prompt/SKILL.md,docs-forge,voice-prompt,314,4070,736,14,1,no,name description version
docs-forge/skills/write-rules/SKILL.md,docs-forge,write-rules,411,4371,518,17,0,no,name description allowed-tools
e2e-harness/skills/e2e-author/SKILL.md,e2e-harness,e2e-author,84,2156,665,4,0,no,name description allowed-tools
e2e-harness/skills/e2e-debug/SKILL.md,e2e-harness,e2e-debug,97,1964,693,4,0,no,name description allowed-tools
e2e-harness/skills/e2e-setup/SKILL.md,e2e-harness,e2e-setup,174,3692,683,3,0,no,name description allowed-tools
