plugin,skill,lines,body_tokens,desc_chars,desc_tokens,sections,ref_files,ref_depth,has_scripts,v_lines,v_desc,v_refdepth
slidev,create-slide,844,5517,282,71,40,9,1,0,1,0,0
github-dev,cr-fix,649,9448,662,166,33,12,1,1,1,0,0
github-dev,resolve-issue,418,5388,630,158,23,0,0,0,0,0,0
rules-forge,write-rules,404,4445,518,130,16,0,0,0,0,0,0
tcrei-prompt,tcrei-prompt,368,2908,334,84,26,1,1,0,0,0,0
github-dev,update-progress,329,3134,543,136,9,0,0,0,0,0,0
brightdata-guide,brightdata-guide,325,4818,717,179,29,3,1,0,0,0,0
github-dev,decompose-issue,301,3356,581,145,13,0,0,0,0,0,0
interview,interview-methodology,292,3006,268,67,41,0,0,0,0,0,0
github-dev,post-merge,286,6084,1014,254,21,4,1,0,0,0,0
llm-wiki,lint-wiki,281,4639,278,70,11,0,0,0,0,0,0
ml-toolkit,cv-explorer,229,2710,372,93,27,5,2,0,0,0,1
project-init,wiring,222,5046,925,231,16,0,0,0,0,0,0
llm-wiki,ingest-finding,213,4109,302,76,18,0,0,0,0,0,0
github-dev,release,211,1927,562,141,7,0,0,0,0,0,0
code-scout,research-orchestrator,210,3093,896,224,20,2,1,0,0,0,0
ppt-yeong-style,ppt-yeong-style,204,4057,592,148,16,6,1,0,0,0,0
tally-form,tally-form,197,2600,727,182,17,5,1,1,0,0,0
translator,translate-web-article,195,1065,310,78,21,1,1,1,0,0,0
ml-toolkit,gradio-cv-app,183,1682,338,85,17,4,1,0,0,0,0
code-scout,resource-finder,177,1605,334,84,14,2,1,1,0,0,0
codex-image,codex-image,175,3452,468,117,8,0,0,0,0,0,0
ml-toolkit,cv-notebook,165,1761,407,102,20,9,2,0,0,0,1
llm-wiki,migrate-wiki,153,2312,379,95,14,0,0,0,0,0,0
code-scout,exa-web-search,145,2083,304,76,12,0,0,0,0,0,0
ml-toolkit,gpu-parallel-pipeline,137,1513,480,120,8,3,1,1,0,0,0
anti-slop-design,anti-slop-design,132,1972,792,198,17,3,1,0,0,0,0
e2e-harness,e2e-setup,125,2653,683,171,3,0,0,0,0,0,0
github-dev,commit-and-push,113,1209,466,117,10,0,0,0,0,0,0
spec-state,state-tracker,108,1196,300,75,10,0,0,0,0,0,0
llm-wiki,bootstrap-wiki,94,1895,256,64,4,0,0,0,0,0,0
ppt-yeong-style,lecture-deck,87,1308,365,91,10,1,1,0,0,0,0
docs-forge,changelog-guide,81,404,157,39,13,0,0,0,0,0,0
paper-search-tools,paper-search-usage,81,744,223,56,7,0,0,0,0,0,0
gws-sync,gws-sync,80,1267,380,95,6,1,1,0,0,0,0
llm-wiki,query-wiki,75,1616,350,88,7,0,0,0,0,0,0
docs-forge,readme-guide,67,413,144,36,7,0,0,0,0,0,0
e2e-harness,e2e-debug,67,1244,693,173,3,0,0,0,0,0,0
ml-toolkit,ml-dev-principles,66,1013,633,158,8,0,0,0,0,0,0
project-init,new,65,1191,723,181,3,0,0,0,0,0,0
github-dev,create-issue-label,55,568,401,100,8,0,0,0,0,0,0
docs-forge,moc-guide,52,578,225,56,7,0,0,0,0,0,0
ppt-yeong-style,deck-review,52,791,378,95,5,0,0,0,0,0,0
e2e-harness,e2e-author,51,1249,665,166,3,0,0,0,0,0,0
mem0-ops,cleanup,50,646,441,110,2,0,0,0,0,0,0
notebook,edit-notebook,48,358,217,54,6,0,0,0,0,0,0
mem0-ops,doctor,39,517,465,116,2,0,0,0,0,0,0
mem0-ops,fleet-scan,39,471,447,112,2,0,0,0,0,0,0
docs-forge,deploy-doc-guide,33,553,242,61,3,0,0,0,0,0,0
paper-search-tools,setup,26,218,203,51,3,0,0,0,0,0,0
deepwiki,generate-llmstxt,22,395,338,85,1,0,0,0,0,0,0
deepwiki,ask,20,487,473,118,1,0,0,0,0,0,0
